date,home_team,away_team,home_goals,away_goals,round,elo_h,elo_a,elo_diff,h_win5,a_win5,h_gf5,a_gf5,h_ga5,a_ga5,h_gd5,a_gd5,h_win10,a_win10,h_gf10,a_gf10,h_ga10,a_ga10,h_gd10,a_gd10,h2h_n,h2h_h_winrate,h2h_a_winrate
1938-06-12,Cuba,Sweden,0,8,FIFA World Cup,1612.8478686032583,1524.3840590257314,88.46380957752694,0.5,0.5,2.5,2.0,2.0,2.0,0.5,0.0,0.5,0.5,2.5,2.0,2.0,2.0,0.5,0.0,0,0.0,0.0
1938-06-12,Brazil,Czechoslovakia,1,1,FIFA World Cup,1592.5316424651105,1585.816991851658,6.714650613452477,0.5,0.8,3.0,2.4,2.5,1.2,0.5,1.2,0.5,0.8,3.0,2.4,2.5,1.2,0.5,1.2,0,0.0,0.0
1938-06-14,Brazil,Czechoslovakia,2,1,FIFA World Cup,1591.9519250991245,1586.396709217644,5.555215881480535,0.4,0.6,2.6,2.2,2.2,1.2,0.4,1.0,0.4,0.6667,2.6,2.17,2.2,1.17,0.4,1.0,1,0.0,0.0
1938-06-16,Hungary,Sweden,5,1,FIFA World Cup,1707.864160880614,1613.3935451745583,94.4706157060557,0.75,0.6667,3.25,4.0,1.0,1.33,2.25,2.67,0.75,0.6667,3.25,4.0,1.0,1.33,2.25,2.67,0,0.0,0.0
1938-06-16,Brazil,Italy,1,2,FIFA World Cup,1621.4722900741408,1667.8132643411789,-46.340974267038064,0.6,1.0,2.8,1.8,2.0,0.6,0.8,1.2,0.5,0.8571,2.5,2.43,2.0,0.71,0.5,1.71,0,0.0,0.0
1938-06-19,Hungary,Italy,2,4,FIFA World Cup,1749.1854329644252,1693.8354239485784,55.35000901584681,0.8,1.0,3.6,2.0,1.0,0.8,2.6,1.2,0.8,0.875,3.6,2.38,1.0,0.75,2.6,1.62,0,0.0,0.0
1938-06-19,Brazil,Sweden,4,2,FIFA World Cup,1595.4501304667413,1572.072273090747,23.377857375994154,0.4,0.5,2.2,3.25,2.4,2.25,-0.2,1.0,0.4286,0.5,2.29,3.25,2.0,2.25,0.29,1.0,0,0.0,0.0
1950-06-24,Brazil,Mexico,4,0,FIFA World Cup,1637.4267821444935,1403.7395237655119,233.6872583789816,0.6,0.0,2.8,1.33,2.2,4.33,0.6,-3.0,0.5,0.0,2.5,1.33,2.0,4.33,0.5,-3.0,0,0.0,0.0
1950-06-25,Chile,England,0,2,FIFA World Cup,1620.0964229194594,1500.0,120.09642291945943,0.6667,0.5,1.67,0.0,1.0,0.0,0.67,0.0,0.6667,0.5,1.67,0.0,1.0,0.0,0.67,0.0,0,0.0,0.0
1950-06-25,Italy,Sweden,2,3,FIFA World Cup,1845.9443406361295,1530.095621412995,315.8487192231346,1.0,0.4,2.6,3.0,1.2,2.6,1.4,0.4,0.8889,0.4,2.56,3.0,0.89,2.6,1.67,0.4,0,0.0,0.0
